nome,slug,url_pagina,data_lancamento,status,status_indice,categoria_coleta,no_recorte,resultados,urls_resultados,causa_falha,organizacao,pais,unidades_massa,oneliner
RROCI-2,rroci-2,https://www.nanosats.eu/sat/rroci-2.html,2024-03-04,Operational? (Clear reports not found but object identified as of 2024-05-26),Operational,A - sensoriamento remoto,sim,"In only 15 months after contract award, the EO/IR Weather System (EWS) demonstration CubeSat hit its 'first light' milestone on 12 Jun 2024.",https://www.linkedin.com/posts/robert-davis-5722061b1_sscspacesensing-sensemakesensewin-activity-7213225240213012482-ORNA?utm_source=share&utm_medium=member_desktop,,U.S. Space Force,,12U,Demonstrate an Electro-Optical / Infrared (EO/IR) LEO-based cloud characterization solution that supports U.S. warfighter operations.
Sentry,sentry,https://www.nanosats.eu/sat/sentry.html,2024-03-04,Reentry 2026-03-25. Was operational? (Potentially some issues because in a low power tumble as per RBC Signals FCC request from March 2024),"Reentered, Operational, ?",—,não,"RBC Signals, LLC (“RBC Signals”), pursuant to Section 25.115 of the Commission’s rules, 47 C.F.R. § 25.115, respectfully seeks a 60 day STA to continue to operate a fixed 6 meter S and X band earth station in Deadhorse, Alaska to conduct telemetry, tracking, and command (“TT&C”) operations in portions of the 2025-2110 MHz (Earth-to space) band with a non-geostationary orbit (“NGSO”) satellites. Specifically, RBC Signals seeks to add as authorized satellite points of communication the U.S.-licensed Quantum Sentry1 satellite, using the frequencies indicated in this narrative, STA Form and summarized in Table 1 below. This system is currently authorized through the FCC office under callsign S3179 and grant SAT-LOA-20230729-00189.
This grant will support Quantum Space LLC’s ability to conduct satellite functionality tests, monitor satellite health, and ensure safe space operations for the Quantum Sentry Satellite. Currently the system is in a low power tumble as a result of poor tracking and limited pass opportunities at the currently utilized ground stations. RBC Signals is requesting an expediated review process for this STA in order to provide critical support to the Sentry System. Adding the Deadhorse 6 meter to operations will greatly improve Quantum’s ability to communicate with the Sentry system and reduce the likelihood of system loss.",https://forum.nasaspaceflight.com/index.php?topic=58042.msg2577197#msg2577197 | https://forum.nasaspaceflight.com/index.php?topic=58042.msg2577197#msg2577197,,Quantum Space,,6U,"First mission will include a sensor and edge computing payload, and will communicate with the cloud-based mission control."
SONATE-2,sonate-2,https://www.nanosats.eu/sat/sonate-2.html,2024-03-04,Operational (4S 2024 paper as of May 2024),Operational,—,não,"During the first weeks of its operation in orbit during LEOP and commissioning the SONATE-2 performs as expected. All systems have been checked out and the post-launch calibration of the AI payload and satellite bus has started. The amateur radio payload was activated on several days and was successfully received by radio amateurs worldwide.
All four deployable antennas (2m and 70cm amateur radio bands) were successfully deployed 200 seconds after separation from the deployment container. Unfortunately, the automatic deployment of the deployable solar panels 60 seconds later failed. As the separation and solar panel deployment as well as the first contact occurred on the night side of Earth, the temperature of the deployment mechanism was already lower than expected. Therefore, the solar panels were successfully deployed manually by telecommand later in LEOP during a pass in the Sun. This was no problem for the LEOP operations as power budget und communications were designed to be sufficient in case the solar panel deployment would fail.
From the first successful contact 1 hour after launch SONATE-2 was operated on all passes over the ground stations in Würzburg. Except the deployment of the solar panels the satellite was in nominal state as expected. After five days, only the weekday passes between 12:00 and 16:00 UTC were used to command the satellite, while the night and weekend passes were solely for automated telemetry downlink. During the first days, all subsystems have been turned on at least once on both redundant busses to see that everything survived the launch as expected.
Active detumbling of the satellite during LEOP was not necessary. After separation the remaining rotation was around 5 deg/sec around the primary axis of the satellite (see Figure 13), slowing down by 1 deg/sec/day. The remaining rotation of less than 1 deg/sec is preferred for thermal reasons compared to a total detumbling by active control. Therefore, further detumbling is only performed when required for payload operations.",https://az659834.vo.msecnd.net/eventsairwesteuprod/production-atpi-public/555bb7a05a7345888220459474cc71f4 | https://az659834.vo.msecnd.net/eventsairwesteuprod/production-atpi-public/555bb7a05a7345888220459474cc71f4 | https://az659834.vo.msecnd.net/eventsairwesteuprod/production-atpi-public/555bb7a05a7345888220459474cc71f4 | https://az659834.vo.msecnd.net/eventsairwesteuprod/production-atpi-public/555bb7a05a7345888220459474cc71f4,,University of Würzburg,Germany,6U,Development and operation of a technology test satellite for highly autonomous payloads and artificial intelligence.
VEERY-0E “Ectobius”,veery-0e,https://www.nanosats.eu/sat/veery-0e.html,2024-03-04,Operational? (Website reports it as operational but object not identified and does not seem to be available to radio amateurs as of 2024-12-16),"Operational, ?",A - sensoriamento remoto,sim,The radar payload on Veery v0.3 is alive and returning data! It's the smallest (lowest cost) radar ever flown in space.,https://x.com/CareWeather/status/1774080595192361321,,Care Weather,US,1U,Building phone—sized weather satellites to power a super accurate forecast.
Big Red Sat-1,big-red-sat-1,https://www.nanosats.eu/sat/big-red-sat-1.html,2024-03-21,Reentry 2024-08-29. Was operational (SmallSat 2024 article and NASA presentation on 2024-10-23),"Reentered, Operational",—,não,"BRS-1 is currently in-orbit and transmitting measurement data.
BRS-1 operated in orbit for 105 days before deorbiting and we are currently processing the data received.",https://digitalcommons.usu.edu/cgi/viewcontent.cgi?article=5816&context=smallsat | https://www.nasa.gov/smallsat-institute/community-of-practice/big-red-sat-1-nebraskas-first-cubesat-experience-and-lessons-learned-for-our-middle-school-to-graduate-school-team/,,University of Nebraska,US,1U,Educational mission to demonstrate perovskite panel technology.
BurstCube,burstcube,https://www.nanosats.eu/sat/burstcube.html,2024-03-21,Reentry 2024-09-17. Was operational (SmallSat 2024 paper),"Reentered, Operational",—,não,"As of June 2024, the BurstCube team is making significant progress on commissioning the science instrument. The team has powered on the detectors, enabled science data production, and analyzed both lowand high-resolution data. The final step in instrument commissioning is to enable triggering, which will allow the team to obtain alerts at any time in BurstCube’s orbit rather than waiting for scheduled passes to downlink data.",https://digitalcommons.usu.edu/cgi/viewcontent.cgi?article=5894&context=smallsat,,NASA Goddard Space Flight Center,,6U,Autonomously detect gamma ray bursts (GRBs) onboard to detect fading broadband afterglows.
VIOLET,violet,https://www.nanosats.eu/sat/violet.html,2024-03-21,Reentry 2024-08-29. No signal (Official news 2024-09-08),"Reentered, No signal",A - sensoriamento remoto,sim,Violet never responded after reaching space.,https://www.cbc.ca/lite/story/1.7316786,,University of New Brunswick,Canada,2U,Measure GPS signals after passing through atmosphere and several cameras for atmosphere and Earth imaging.
ACS3,acs3,https://www.nanosats.eu/sat/acs3.html,2024-04-23,Operational (Press release on 2024-08-29 about sail deployment),Operational,A(fraco) - câmera sem alvo declarado,não,"NASA’s Advanced Composite Solar Sail System is now fully deployed in space after a successful test of its sail-hoisting boom system. Mission operators confirmed success at 1:33 p.m. EDT (10:33 a.m. PDT) on Thursday, Aug. 29, after receiving data from the spacecraft. Centrally located aboard the spacecraft are four cameras which captured a panoramic view of the reflective sail and supporting composite booms. High-resolution imagery from these cameras will be available on Wednesday, Sept. 4.
During the next few weeks, the team will test the maneuvering capabilities of the sail in space. Raising and lowering the orbit of the Advanced Composite Solar Sail System spacecraft will provide valuable information that may help guide future concepts of operations and designs for solar sail-equipped science and exploration missions.
Mission operators for NASA’s Advanced Composite Solar Sail System continue to analyze data from the spacecraft and characterize the performance of its composite booms. Following successful deployment of the booms and solar sail, the Advanced Composite Solar Sail System still slowly tumbles in orbit because the spacecraft’s attitude control system is not yet reengaged. While the solar sail has fully extended to its square shape roughly half the size of a tennis court, the mission team is assessing what appears to be a slight bend in one of the four booms. This likely occurred as the booms and sail were pulled taut to the spacecraft during deployment. Analysis indicates that the bend may have partially straightened over the weeks since boom deployment, while the spacecraft was slowly tumbling.",https://blogs.nasa.gov/smallsatellites/2024/08/29/nasa-composite-booms-deploy-mission-sets-sail-in-space/ | https://blogs.nasa.gov/smallsatellites/2024/08/29/nasa-composite-booms-deploy-mission-sets-sail-in-space/ | https://blogs.nasa.gov/smallsatellites/2024/10/22/update-on-nasas-advanced-composite-solar-sail-system/,,NASA Ames Research Center,US,12U,Characterize solar sail structures technologies for future small spacecraft deep space missions.
iCUBE-Q,icube-q,https://www.nanosats.eu/sat/icube-q.html,2024-05-03,Operational? (IAC 2024 papers talk in past tense),"Operational, ?",A - sensoriamento remoto,sim,"The ""SJTU Siyuan-2"" CubeSat was successfully launched into orbit on Chang'e-6, and was successfully released and separated today after 5 days of on-orbit storage. Just 14 seconds after its ""solo flight"", it successfully established a satellite-to-ground link, and the Kashgar ground station successfully received satellite telemetry data; one minute later, the satellite sails were successfully deployed, the flywheel was controlled, and it entered the rate damping mode; at 16:21:26, the satellite completed the satellite rate damping and switched to the solar orientation mode; at 16:23:18, the Kashgar ground station successfully received the first separated imaging image data; in the evening, the lunar landform remote sensing data was successfully obtained.
The reporter learned from the satellite team of Shanghai Jiaotong University that the Siyuan-2 currently flying normally, the voltage of the whole satellite is normal, the attitude is stable, all functions are working stably and normally, and the separated imaging data has been successfully obtained, and the mission has been a complete success. In the future, according to the scheduled plan, it will continue to use its micro-camera to obtain detailed images of the lunar surface, carry out intelligent processing of image data on orbit, and verify new technologies such as nanosatellite-level deep space lunar-earth communication, and fully explore low-cost deep space exploration models based on micro-nano satellites.",https://m.163.com/dy/article/J1MPHF7M0512DU6N.html | https://m.163.com/dy/article/J1MPHF7M0512DU6N.html,,Islamabad Institute of Science and Technology,Pakistan,6.5 kg,Detect traces of water-ice on the lunar surface.
PREFIRE-2,prefire,https://www.nanosats.eu/sat/prefire.html,2024-05-25,,Operational,A - sensoriamento remoto,sim,"The first cube satellite, or CubeSat, launched on May 25 from New Zealand and started sending back science data in July. Launched on June 5, the second CubeSat had an issue with its GPS unit, which researchers were planning to use to help geolocate the science data from the satellite. After the GPS unit on the first CubeSat also began experiencing issues, the PREFIRE team decided to turn off the GPS units on both CubeSats and use an alternative method for geolocating the science data. The second CubeSat started sending back science data in August. The GPS issue has not affected the science operations of either CubeSat.",https://blogs.nasa.gov/smallsatellites/2024/12/03/twin-mini-nasa-satellites-capture-data-on-polar-heat-emissions/,,University of Wisconsin,US,6U,Measuring the Arctic’s radiant energy and how this energy is affecting the Arctic warming.
PREFIRE-1,prefire,https://www.nanosats.eu/sat/prefire.html,2024-06-05,,Operational,A - sensoriamento remoto,sim,"The first cube satellite, or CubeSat, launched on May 25 from New Zealand and started sending back science data in July. Launched on June 5, the second CubeSat had an issue with its GPS unit, which researchers were planning to use to help geolocate the science data from the satellite. After the GPS unit on the first CubeSat also began experiencing issues, the PREFIRE team decided to turn off the GPS units on both CubeSats and use an alternative method for geolocating the science data. The second CubeSat started sending back science data in August. The GPS issue has not affected the science operations of either CubeSat.",https://blogs.nasa.gov/smallsatellites/2024/12/03/twin-mini-nasa-satellites-capture-data-on-polar-heat-emissions/,,University of Wisconsin,US,6U,Measuring the Arctic’s radiant energy and how this energy is affecting the Arctic warming.
TechEdSat-11,techedsat-11,https://www.nanosats.eu/sat/techedsat-11.html,2024-07-04,Reentry 2026-02-15. Was operational (Object identified as of 2024-12-22),"Reentered, Operational",—,não,"We flew TechEdSat-11, which demonstrated autonomous scheduling of commerical space communications services:
Software onboard the spacecraft recognized the need to transfer data.
A request message was sent to the ground via the Iriudium constellation.
Our software on Earth processed the request, identified a ground station, and requested a contact with AWS via their Ground Station Scheduling API.
After receiving the confirmation, the spacecraft began downlinking data at the scheduled contact start time.",https://www.linkedin.com/posts/adammgannon_excited-to-see-our-on-orbit-results-presented-activity-7361418372032389120-vD4l?utm_source=share&utm_medium=member_desktop&rcm=ACoAAAt6RjABfKWEquksacZ3EVEQFZa3Fpq53uM | https://www.linkedin.com/posts/adammgannon_excited-to-see-our-on-orbit-results-presented-activity-7361418372032389120-vD4l?utm_source=share&utm_medium=member_desktop&rcm=ACoAAAt6RjABfKWEquksacZ3EVEQFZa3Fpq53uM | https://www.linkedin.com/posts/adammgannon_excited-to-see-our-on-orbit-results-presented-activity-7361418372032389120-vD4l?utm_source=share&utm_medium=member_desktop&rcm=ACoAAAt6RjABfKWEquksacZ3EVEQFZa3Fpq53uM | https://www.linkedin.com/posts/adammgannon_excited-to-see-our-on-orbit-results-presented-activity-7361418372032389120-vD4l?utm_source=share&utm_medium=member_desktop&rcm=ACoAAAt6RjABfKWEquksacZ3EVEQFZa3Fpq53uM | https://www.linkedin.com/posts/adammgannon_excited-to-see-our-on-orbit-results-presented-activity-7361418372032389120-vD4l?utm_source=share&utm_medium=member_desktop&rcm=ACoAAAt6RjABfKWEquksacZ3EVEQFZa3Fpq53uM,,NASA Ames Research Center,US,6U,"6U-XL bus size, Largest TES Exo-Brake Yet: 2.0m². Gen-2 TES SDR S-band Radio, NOAA Radio."
CURIE A,curie,https://www.nanosats.eu/sat/curie.html,2024-07-09,,"No signal, ?",—,não,CURIE successfully deployed from the rocket and is expected to establish ground communications next week.,https://science.nasa.gov/science-research/heliophysics/nasa-mission-to-study-mysteries-in-the-origin-of-solar-radio-waves/,,"University of California, Berkeley",US,3U,Radio astronomy missions to measure radio waves from 0.1-19MHz.
CURIE B,curie,https://www.nanosats.eu/sat/curie.html,2024-07-09,,"No signal, ?, On spacecraft",—,não,CURIE successfully deployed from the rocket and is expected to establish ground communications next week.,https://science.nasa.gov/science-research/heliophysics/nasa-mission-to-study-mysteries-in-the-origin-of-solar-radio-waves/,,"University of California, Berkeley",US,3U,Radio astronomy missions to measure radio waves from 0.1-19MHz.
Curium One,curium-one,https://www.nanosats.eu/sat/curium-one.html,2024-07-09,"Was semi-operational until 2024-07-22? (Could be marked as ""no signal"" too. Antenna not deployed and very weak signals only received with a large telescope as of 2024-08-01)","No signal, Was semi-operational",A(fraco) - câmera sem alvo declarado; B - coleta de plataformas (DCS/IoT),sim,"Tammo Jan Dijkema, 2024-08-1:
On July 9, 2024, with the first launch of the Ariane 6 rocket, various cubesats were placed into orbit around the Earth. One of these cubesats was Curium One, which was developed with contributions from the Libre Space Foundation. One of the goals of this satellite was to demonstrate a new communication system.
Unfortunately, it soon became apparent after the launch that no signals from Curium One could be received by conventional ground stations. However, when we aimed the Dwingeloo Telescope at this satellite, we were able to detect signals on the first attempt. These signals were very weak, which explains why smaller ground stations couldn’t detect anything. To determine what was wrong with the satellite, the creators studied the data from Dwingeloo. It was found that, although the signal level was much too weak, many parts of the satellite were functioning properly. The most plausible explanation for the weak signal is that the antennas did not deploy correctly.
Unfortunately, we can no longer hear the satellite even with the Dwingeloo Telescope: the first observation where we detected nothing was on July 22 at 17:00. It seems that between July 21 and 22, the satellite was switched off.
Besides the Dwingeloo Telescope, no one else has detected this satellite, making the seven observations from the Dwingeloo Telescope extremely important for the creators. The Dwingeloo observations also show which of the Ariane 6 cubesats is Curium One, so that the team can track the correct satellite in future observations.
All observations can be viewed on SatNogs. The high resolution image shows the received data packages, each 0.1 seconds long.",https://www.camras.nl/en/blog/2024/curium-one-observed-from-dwingeloo/ | https://www.camras.nl/en/blog/2024/curium-one-observed-from-dwingeloo/ | https://www.camras.nl/en/blog/2024/curium-one-observed-from-dwingeloo/ | https://www.camras.nl/en/blog/2024/curium-one-observed-from-dwingeloo/ | https://www.camras.nl/en/blog/2024/curium-one-observed-from-dwingeloo/,Antenna not deployed?,Planetary Transportation System (PTS),Germany,12U,Operate an innovative redundant GPU processing platform powering the ‘Major Tom’ project.
GRBBeta,grbbeta,https://www.nanosats.eu/sat/grbbeta.html,2024-07-09,"Operational (Many SatNOGS reports with data, last on 2024-09-02 as of 2024-09-02)",Operational,—,não,"Initial rotation rates were over 18 degrees per second, but slowing down with only passive attitude control.
First gamma-ray burst detected.",https://twitter.com/needronix/status/1376979407546507264?s=20 | https://gcn.gsfc.nasa.gov/gcn3/30624.gcn3,,Technical University of Kosice,Slovakia,2U,Educational mission with digipeater and testing gamma-ray burst sensor.
CySat 1,cysat-1,https://www.nanosats.eu/sat/cysat-1.html,2024-08-04,Reentry 2025-01-14. No signal? (News a week after launch did not have successful contact. Identified because DORA was operational? Last checked 2024-12-16),"Reentered, No signal, ?",—,não,"2024-10-17: Attempts to get the satellite to point its antenna were unsuccessful as of Friday, but Nelson and others will keep trying. Cy SAT typically makes three passes each day through the area.",https://www.inside.iastate.edu/article/2024/10/17/cysat,,Iowa State University,US,3U,Educational training and demonstration of CubeSat platform technologies for asteroid surveying payload.
CUAVA-2,cuava-2,https://www.nanosats.eu/sat/cuava-2.html,2024-08-16,"Operational (Official news by team and live dashboard, last checked 2024-09-28. Some SD card issues.)",Operational,A - sensoriamento remoto,sim,"2024-12-16:
CUAVA-2 experienced difficulties with the satellite’s first SD card failing around 5 days after launch, likely due to radiation from space weather. The satellite automatically booted its backup system and commissioning of the satellite is under way.",https://www.linkedin.com/posts/arc-training-centre-for-cubesats-uavs-and-their-applications-cuava_cuava-2-satellite-reaches-1800-revolutions-ugcPost-7274257417436065792-iaZd/?utm_source=share&utm_medium=member_desktop,"SD card issues, but not a failure cause.",University of Sydney,Australia,6U,Main payloads are hyperspectral imaging & GPS reflectrometry.
HYPSO-2,hypso-2,https://www.nanosats.eu/sat/hypso-2.html,2024-08-16,"Operational (NanoAvionics post on 2024-08-19 implies that commissioning has started, last checked 2024-09-02)",Operational,A - sensoriamento remoto,sim,"Our second satellite HYPSO-2 has:
Completed 5450 orbits
Recorded 800 hyperspectral captures
Carried out 3000 communications passes on S & X band provided by KSAT – Kongsberg Satellite Services.
Had about 3500 communications passes over the Norwegian University of Science and Technology (NTNU) ground station on UHF and some at our local S-band antenna.",https://www.linkedin.com/posts/ntnu-hypso_hyperspectral-cubesat-ocean-activity-7362381364270116866-gStc?utm_source=share&utm_medium=member_desktop&rcm=ACoAAAt6RjABfKWEquksacZ3EVEQFZa3Fpq53uM | https://www.linkedin.com/posts/ntnu-hypso_hyperspectral-cubesat-ocean-activity-7362381364270116866-gStc?utm_source=share&utm_medium=member_desktop&rcm=ACoAAAt6RjABfKWEquksacZ3EVEQFZa3Fpq53uM | https://www.linkedin.com/posts/ntnu-hypso_hyperspectral-cubesat-ocean-activity-7362381364270116866-gStc?utm_source=share&utm_medium=member_desktop&rcm=ACoAAAt6RjABfKWEquksacZ3EVEQFZa3Fpq53uM | https://www.linkedin.com/posts/ntnu-hypso_hyperspectral-cubesat-ocean-activity-7362381364270116866-gStc?utm_source=share&utm_medium=member_desktop&rcm=ACoAAAt6RjABfKWEquksacZ3EVEQFZa3Fpq53uM | https://www.linkedin.com/posts/ntnu-hypso_hyperspectral-cubesat-ocean-activity-7362381364270116866-gStc?utm_source=share&utm_medium=member_desktop&rcm=ACoAAAt6RjABfKWEquksacZ3EVEQFZa3Fpq53uM,,Norwegian University of Science and Technology (NTNU),US,6U,Hyperspectral imager to monitor algal blooms and other biological activity in the ocean.
IPERDRONE,iperdrone,https://www.nanosats.eu/sat/iperdrone.html,2024-08-16,Operational (Official press release about commissioning on 2024-08-20),Operational,—,não,"IPERDRONE.0, commissioning completed.",https://www.cira.it/en/competences/space-technology-integration-and-flight-demostrators/iperdrone-0-terminato-il-commissioning,,CIRA (Italian Aerospace Research Centre),Italy,8U,Proximity operations mission of a long-term program developing a multi-functional re-entry system.
Nightjar,nightjar,https://www.nanosats.eu/sat/nightjar.html,2024-08-16,"Was operational until 2024-08-23, 1 week? (NanoAvionics post on 2024-08-19 implies that commissioning has started and object indentified. Taiwan news talks about running out of power due to battery issues at low temperature. Last checked 2024-09-30)","Was operational, ?",A(fraco) - câmera sem alvo declarado,não,Ran out of power after just one week in space due to battery issues at low temperatures.,https://www.digitimes.com/news/a20240926PD214/taiwan-b5g-itri-leo-5g.html,Running out of power due to battery issues at low temperatures.,Rapidtek Technologies,Taiwan,3U,"Two 3U satellites, equipped with an RGB imager and a software-defined radio (SDR), are set to perform in-orbit demonstrations."
PTD-4 LISA,ptd-4,https://www.nanosats.eu/sat/ptd-4.html,2024-08-16,"Operational (News on 2024-10-23 about starting to deploy the boom, last checked 2024-12-16)",Operational,A(fraco) - câmera sem alvo declarado,não,"NASA has confirmed proper checkout of the PTD-4 spacecraft’s on-board electronics and support systems, including a small onboard camera that will capture images of the tech demonstration during the mission.",https://executivegov.com/2024/10/nasa-ptd-4-spacecraft-solar-array-tech-demo/,,NASA Ames Research Center,US,6U,Government-furnished technology payloads for a series of flight demonstrations.
QUBE,qube,https://www.nanosats.eu/sat/qube.html,2024-08-16,Operational (Mission update from 2025-04-11),Operational,—,não,Successful satellite launch and early orbit phase (LEOP) and ADCS commissioning for QUBE mission.,https://telematik-zentrum.de/news/2025-04-11/,,Zentrum für Telematik,,3U,Quantum Key Distribution Experiments.
SATORO-T2,satoro-t2,https://www.nanosats.eu/sat/satoro-t2.html,2024-08-16,"Reentry 2026-03-02. Was operational (Numerous packets with data on SatNOGS, videos from space on Yotube and object identified, last checked 2024-09-02)","Reentered, Operational",—,não,SATORO-T2 has been successfully operating in orbit for over 200 days!,https://www.linkedin.com/posts/brian-hu-065a85194_spacex-transporter11-sonyspresense-activity-7310512845132021760-aaMD?utm_source=share&utm_medium=member_desktop&rcm=ACoAAAt6RjABfKWEquksacZ3EVEQFZa3Fpq53uM,,SATORO Space,Taiwan,3U,SATORO-T2 may be a new spacecraft from Taiwan’s SATORO Space.
Waratah-1,waratah-seed,https://www.nanosats.eu/sat/waratah-seed.html,2024-08-16,"Operational (Live dashboard, last checked 2024-12-22)",Operational,—,não,"The Waratah Seed-1 mission will extend operations, surpassing expectations after operating in space for 6 months as of Monday 17th February. Seven of the nine payloads on board are now operational and sending data back to Earth for analysis. Of the remaining two payloads, both are drawing current and one has generated a datafile onboard.",https://www.linkedin.com/posts/waratah-seed-space_mission-update-waratah-seed-exceeds-6-months-activity-7297819691522109440-hyyn?utm_source=share&utm_medium=member_desktop&rcm=ACoAAAt6RjABfKWEquksacZ3EVEQFZa3Fpq53uM,,University of Sydney,Australia,6U,Australian ride-share satellite so that industry and researchers can use to test and prove the functionality of their tech.
Φsat-2,phi-sat-2,https://www.nanosats.eu/sat/phi-sat-2.html,2024-08-16,"Operational (First images from the satellite shared, last checked 2024-09-02)",Operational,A - sensoriamento remoto; C - sinais cooperativos (AIS/ADS-B/RF),sim,"Successfully completed its Launch and Early Orbit Phase (LEOP) within two days. The platform commissioning phase, lasting approximately four weeks, included verifications on power generation, communications, and attitude determination and control. Concurrently, the payload commissioning phase began, focusing on the multispectral camera, payload pre-processor, and AI accelerator.
The mission is currently in the payload commissioning and calibration phase, with over 30 scenes acquired and distributed. The upcoming operational phase will involve continuous Earth observation data acquisition and processing, utilizing AI applications to enhance data analysis and ensure optimal performance.",https://2025.smallsateurope.com/sessions-four/in-orbit-commissioning-results-of-the-%cf%86sat-2-mission/ | https://2025.smallsateurope.com/sessions-four/in-orbit-commissioning-results-of-the-%cf%86sat-2-mission/,,ESA (European Space Agency),France,6U,"The ESA Φsat-2 mission consists of on-board processing capabilities (including AI) and a medium to high resolution multispectral instrument
."
ONGLAISAT,nspo-1,https://www.nanosats.eu/sat/nspo-1.html,2024-11-05,Reentry 2025-03-04. Was operational? (Official press release on 2024-12-10 but SatNOGS has not received as of 2024-12-28),"Reentered, Operational, ?",A - sensoriamento remoto,sim,"ArkEdge Space Achieves World-Class Ground Resolution Imaging with ONGLAISAT, a Jointly Developed CubeSat, 2025-02-07.
Successful imaging demonstration with a newly developed optical system.
Validation of advanced TDI (Time Delay Integration) [1] imaging sensor technology
Successful demonstration of onboard image processing technology
Verification of advanced satellite bus technology, including high-precision attitude control.",https://arkedgespace.com/en/news/2025-02-07_onglaisat | https://arkedgespace.com/en/news/2025-02-07_onglaisat | https://arkedgespace.com/en/news/2025-02-07_onglaisat | https://arkedgespace.com/en/news/2025-02-07_onglaisat | https://arkedgespace.com/en/news/2025-02-07_onglaisat,,ArkEdge Space,Japan,6U,Demonstrate low-cost Earth observation satellite. Equipped with TASA’s newly developed optical observation components
Pleiades - Orpheus,pleiades-orpheus,https://www.nanosats.eu/sat/pleiades-orpheus.html,2024-12-21,"Operational? (Last TinyGS packets on 2024-12-23 but lower-than-expected transmit power, last checked 2024-12-23)",Operational,A - sensoriamento remoto; B - coleta de plataformas (DCS/IoT),sim,,,A bug has resulted in a lower-than-expected transmit power (20dBm/100mW) compared to the planned 30dBm/1000mW.,Irvington High School,US,1U,"Educational mission using the
PROVES (Pleiades Rapid Orbital Verification Experimental System) open-source CubeSat architecture
with camera payload."
SC1,sc1,https://www.nanosats.eu/sat/sc1.html,2024-12-21,"Operational (Timelapse shared in early 2025, could be retired as of 2025-12-31 as mission completed)",Operational,A(fraco) - câmera sem alvo declarado,não,"The satellite demonstration achieved “Full Success” by meeting all three of the following success criteria:
Reliable Communication: Establishing reliable communication between the GITAI satellite and the Mission Control Center at GITAI’s Torrance, California office.
System Functionality: Confirming the proper functionality of all onboard sensors, actuators, and computers, including attitude control via reaction wheels and orbital maneuvers using propulsion systems.
Data Acquisition: Successfully capturing and transmitting image and video data from the satellite.",https://gitai.tech/2025/01/27/gitai-successfully-completes-space-demonstration-of-in-house-developed-16u-satellite/ | https://gitai.tech/2025/01/27/gitai-successfully-completes-space-demonstration-of-in-house-developed-16u-satellite/ | https://gitai.tech/2025/01/27/gitai-successfully-completes-space-demonstration-of-in-house-developed-16u-satellite/ | https://gitai.tech/2025/01/27/gitai-successfully-completes-space-demonstration-of-in-house-developed-16u-satellite/,,GITAI,US,16U,"Deploy a tethered payload cube and will observe the cube with two wide field-of-view visual cameras, a 3D LiDAR sensor, a laser rangefinder, and an infrared camera."
AE1C,ae1c,https://www.nanosats.eu/sat/ae1c.html,2025-01-14,Operational? (News about receiving first signal on 2025-01-17),Operational,B - coleta de plataformas (DCS/IoT),sim,"ArkEdge Space Demonstrates Satellite Short Messaging for Global IoT Connectivity ～Live demonstration validates energy-efficient, long-distance data transmission between compact IoT devices and ArkEdge’s micro-satellites. The demonstration used the AE-1c satellite.
For this mission, ArkEdge Space integrated PBR-10, a microscale water-vapor-based propulsion system developed by Pale Blue Inc. (“Pale Blue”) as a hosted payload onboard AE1c. The primary objectives of the mission were to acquire in-orbit operational data and verify the propulsion system’s functionality. ArkEdge Space led the full scope of the process—from the design and development of bus system, to mission system integration and operational support. Both the satellite and the propulsion system performed nominally, and the targeted operational outcomes were successfully achieved.",https://arkedgespace.com/en/news/2025-11-06_iot | https://arkedgespace.com/en/news/2025-06-11_ae1c,,ArkEdge Space,Japan,6U,"Demonstrate “standard model” of 6U satellite bus
."
ANSER Leader-S,anser,https://www.nanosats.eu/sat/anser.html,2025-01-14,,Operational,A - sensoriamento remoto,sim,"“As soon as our launch and early operations phase was complete, we began work to reconfigure Follower 1 to assume the Leader’s role in the cluster. This was achieved without any apparent decrease in its observation capabilities. However the Leader’s cloud detection functionality cannot be replicated by a Follower satellite. Instead we make use of Copernicus Sentinel satellite images to validate our hyperspectral data instead. This can’t be done in real time, but it still works. With this new configuration, ANSER’s mission is still 100% operational.”",https://www.spacequip.eu/2024/05/27/winged-cubesat-flock-survives-leaders-loss/,,National Institute of Aerospace Technology (INTA),Spain,3U,Constellation of 4 nanosatellites to monitor the quality of the water in reservoirs and swamps in Spain
